,Length,PR,turn off camera,Intrudsion,replan times,exploration rate
Average,33.0,818.8920239999999,20.0,29.0,7.0,0.18999999999999997
Average,33.0,818.2084199,20.6,28.8,7.5,0.2760000000000001
Average,32.6,692.3374178,18.3,25.5,7.3,0.353
Average,32.4,692.7341331,18.9,26.0,6.3,0.44699999999999995
Average,30.6,463.5712178,15.2,20.7,5.4,0.528
Average,29.8,466.1759085,15.2,20.0,4.5,0.605
Average,29.8,295.8043623,14.7,18.4,2.9,0.678
Average,30.0,301.0668422,13.7,17.7,3.2,0.7649999999999999
Average,29.2,209.6914025,13.1,15.6,2.0,0.8379999999999999
Average,29.0,148.3475278,11.5,13.1,1.5,0.921
Average,29.0,116.21318900000003,12.0,13.0,1.0,1.0
