,Length,PR,turn off camera,Intrudsion,replan times,exploration rate
Average,36.1,673.0320485999999,15.1,19.8,4.1,0.36500000000000005
Average,37.9,493.48393569999996,15.7,18.5,3.6,0.368
Average,35.4,565.0866980000001,15.3,19.7,4.0,0.34400000000000003
Average,38.2,526.9015365,17.1,20.2,3.9,0.382
Average,35.4,580.5707540999999,13.5,18.7,4.3,0.364
Average,36.9,827.2171485000001,15.2,22.6,5.3,0.19999999999999998
Average,28.6,809.5921936999999,12.2,21.2,4.6,0.175
Average,27.0,769.7562596999999,11.6,20.0,4.2,0.175
Average,27.0,736.3884409,12.0,20.0,4.0,0.16799999999999998
Average,27.0,730.3705096,11.8,20.0,4.0,0.173
