,Length,PR,turn off camera,Intrudsion,replan times,exploration rate
Average,37.0,705.2628809,0.0,18.4,12.1,0.392
Average,38.5,597.9360496,0.0,17.4,10.8,0.393
Average,37.7,653.6765605,0.0,18.2,12.7,0.396
Average,36.1,761.1090344,0.0,17.0,8.0,0.355
Average,37.5,781.0697772999999,0.0,19.1,10.7,0.38499999999999995
Average,34.1,1088.5331555999999,0.0,18.2,6.8,0.14500000000000002
Average,27.0,1363.8261965000002,0.0,20.0,15.1,0.205
Average,27.0,1363.8261965000002,0.0,20.0,14.7,0.205
Average,27.0,1361.1194907000001,0.0,20.0,15.1,0.20299999999999999
Average,27.0,1363.8261965000002,0.0,20.0,14.9,0.205
